WKT,name,description
"POINT (9.178326 45.50010600000001)",Giardini ex-ospedale Bassi, Via Livigno,20158 Milan, Italy

"POINT (9.173863 45.52693)",Piazza Bruzzano,20161 Milan, Italy

"POINT (9.191272 45.513127)",Via Graziano Imperatore,20162 Milan, Italy

"POINT (9.194384 45.51557400000001)",Piazza Belloveso,20162 Milan, Italy

"POINT (9.196987 45.512556)",Via Racconigi,20162 Milan, Italy

"POINT (9.19493 45.499687)",Via Veglia,20159 Milan, Italy

"POINT (9.208388 45.497624)",Via Tofane,Milan, Italy

"POINT (9.156341 45.487847)",Piazza Firenze,Milan, Italy

"POINT (9.097557 45.438654)",Via Poliziano,20090 Cesano Boscone MI, Italy

"POINT (9.165001 45.483259)",Via Piero della Francesca,20154 Milan, Italy

"POINT (9.182167 45.486974)",Via Valtellina,Milan, Italy

"POINT (9.196849 45.489973)",Giardini Gregor Mendel,20124 Milan, Italy

"POINT (9.223543 45.489172)",Piazzale Francesco Durante,20131 Milan, Italy

"POINT (9.226434 45.484432)",Via Vallazze,20131 Milan, Italy

"POINT (9.14886 45.472736)",Via Domenichino,20149 Milan, Italy

"POINT (9.200236 45.473997)",Giardini Pubblici Indro Montanelli,Italy

"POINT (9.189751 45.466757)",Piazza della Scala,20121 Milan, Italy

"POINT (9.213281 45.47885)",Corso Buenos Aires,Milan, Italy

"POINT (9.171612 45.476001)",Piazza Sempione,Milan, Italy

"POINT (9.174745 45.474875)",Viale Cervantes,Milan, Italy

"POINT (9.175687 45.473885)",Parco Sempione,
"POINT (9.183476 45.474096)",Corso Garibaldi,
"POINT (9.205856 45.468212)",Viale Bianca Maria,
"POINT (9.193765 45.46357)",Piazza Fontana,
"POINT (9.192424 45.464555)",Piazza del Duomo,
"POINT (9.193851 45.460371)",Via Festa del Perdono,
"POINT (9.177843 45.458641)",Via de Amicis,
"POINT (9.160677 45.460823)",Via Dezza,
"POINT (9.165795 45.466083)",Piazzale Baracca,
"POINT (9.194119 45.45399)",Giardini Oriana Fallaci,
"POINT (9.193904 45.448435)",Via Bach,
"POINT (9.192038 45.447622)",Via Brahms,
"POINT (9.191051 45.446433)",Viale Toscana,
"POINT (9.143457 45.472711)",Via Ricciarelli,
"POINT (9.165202 45.457781000000004)",Parco Solari,
"POINT (9.135389 45.47168800000001)",Piazza Vesuvio,
"POINT (9.234309 45.480325)",Via Camillo Golgi,20133 Milan, Italy

"POINT (9.14095 45.467568)",Piazzale Diego Velasquez,Milan, Italy

"POINT (9.114088 45.483002)",Parco di Trenno,Italy

"POINT (9.149464 45.459148)",Piazzale Tripoli,20146 Milan, Italy

"POINT (9.137649 45.46509)",Piazzale Siena,Milan, Italy

"POINT (9.127475 45.465454)",Piazzale Giuseppe Perrucchetti,20147 Milan, Italy

"POINT (9.19277 45.459586)",Largo Francesco Richini,20122 Milan, Italy

"POINT (9.168821 45.469177)",Via 20 Settembre,20123 Milan, Italy

"POINT (9.190739 45.448834)",Parco Ravizza,
"POINT (9.262178 45.46485)",Parco Forlanini,Italy

"POINT (9.18118 45.469567000000005)",Foro Bonaparte,
"POINT (9.225298 45.477739)",Piazza Leonardo da Vinci,Milan, Italy

"POINT (9.139435 45.443767)",Piazzale Luigi Negrelli,20143 Milan, Italy

"POINT (9.166546 45.477198)",Via Andrea Massena,20145 Milan, Italy

"POINT (9.226456 45.518707)",Via Doberdò,20126 Milan, Italy

"POINT (9.218495 45.51158)",Via Privata Pericle,20126 Milan, Italy

"POINT (9.227936 45.503099000000006)",Via Policarpo Petrocchi,20127 Milan, Italy

"POINT (9.217529 45.462117)",Viale Piceno,20129 Milan, Italy

"POINT (9.154165 45.452454)",Piazza Napoli,Milan, Italy

"POINT (9.201684 45.462438)",Largo Marco Biagi,20122 Milan, Italy

"POINT (9.181067 45.453455)",Piazza Sant'Eustorgio,Milan, Italy

"POINT (9.151317 45.477502)",Piazzale Arduino,Milan, Italy

"POINT (9.145896 45.49277)",Piazzale Francesco Accursio,Milan, Italy

"POINT (9.236503 45.484797)",Piazza Enrico Bottini,Milan, Italy

"POINT (9.179442 45.470981)",Piazza Castello,20121 Milan, Italy

"POINT (9.18326 45.458116)",Piazza della Vetra,20123 Milan, Italy

"POINT (9.181512 45.461957)",Piazza Mentana,20123 Milan, Italy

"POINT (9.169995 45.47585)",Piazza dei Volontari,20145 Milan, Italy

"POINT (9.15273 45.464523)",Piazza Sicilia,20146 Milan, Italy

"POINT (9.107387 45.507892)",Via Emanuele Jona,Milan, Italy

"POINT (9.190148 45.475692)",Mirabello,Milan, Italy

"POINT (9.155881 45.483856)",Piazzale Damiano Chiesa,20149 Milan, Italy

"POINT (9.185555 45.518592)",Via Privata Bosisio,20162 Milan, Italy

"POINT (9.22148 45.489793)",Via Padova, 29,20127 Milan, Italy

"POINT (9.214454 45.460857000000004)",Largo Marinai d'Italia,20135 Milan, Italy

"POINT (9.235438 45.435215)",Piazza Federico Mistral,20139 Milan, Italy

"POINT (9.155275 45.47421)",Piazzale Giulio Cesare,Milan, Italy

"POINT (9.15624 45.468315)",Piazza Riccardo Wagner,20145 Milan, Italy

"POINT (9.160817 45.468378)",Pagano,
"POINT (9.167447 45.458355)",Viale Coni Zugna,20144 Milan, Italy

"POINT (9.137421 45.487333)",Via Isernia,20148 Milan, Italy

"POINT (9.14061 45.485844)",Via Collecchio,20148 Milan, Italy

"POINT (9.178143 45.46488200000001)",Via Nirone,20123 Milan, Italy

"POINT (9.178305000000002 45.438002)",Viale Giovanni da Cermenate,20141 Milan, Italy

"POINT (9.216521 45.461305)",Largo Marinai d'Italia,20135 Milan, Italy

"POINT (9.216156 45.459408)",Largo Marinai d'Italia,20135 Milan, Italy

"POINT (9.214740000000003 45.46764)",Corso Indipendenza,20129 Milan, Italy

"POINT (9.197059 45.473554)",Corso Venezia,Milan, Italy

