objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
2;20153;7;63;FIGINO;9.073880791571554;45.49325387454429;(45.49325387454429, 9.073880791571554)
6;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.092578976857608;45.459056102337186;(45.459056102337186, 9.092578976857608)
2150;20152;7;88;PARCO BOSCO IN CITTA';9.099067462218361;45.46150728941053;(45.46150728941053, 9.099067462218361)
4223;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.095127151475726;45.465032056375655;(45.465032056375655, 9.095127151475726)
63;20151;8;64;TRENNO;9.09953888877201;45.490628414824386;(45.490628414824386, 9.09953888877201)
5409;20152;7;56;FORZE ARMATE;9.101408601753482;45.45384253490297;(45.45384253490297, 9.101408601753482)
67;20152;7;56;FORZE ARMATE;9.103998783193326;45.459130224453375;(45.459130224453375, 9.103998783193326)
10290;20153;7;88;PARCO BOSCO IN CITTA';9.101454905326184;45.474847561731124;(45.474847561731124, 9.101454905326184)
56;20151;7;88;PARCO BOSCO IN CITTA';9.106826323430452;45.481284257044265;(45.481284257044265, 9.106826323430452)
29120;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.105433838223071;45.49516575234085;(45.49516575234085, 9.105433838223071)
3422;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.105680192085176;45.499218684130696;(45.499218684130696, 9.105680192085176)
299;20152;7;56;FORZE ARMATE;9.107542319541981;45.456267208482934;(45.456267208482934, 9.107542319541981)
54;20151;7;88;PARCO BOSCO IN CITTA';9.108580793826508;45.47943436885482;(45.47943436885482, 9.108580793826508)
59;20151;7;88;PARCO BOSCO IN CITTA';9.107756305822525;45.48689142166145;(45.48689142166145, 9.107756305822525)
363;20147;6;53;LORENTEGGIO;9.125335778142201;45.4568192611256;(45.4568192611256, 9.125335778142201)
538;20151;7;60;STADIO - IPPODROMI;9.123327969671424;45.47983321618133;(45.47983321618133, 9.123327969671424)
122;20147;7;52;BANDE NERE;9.127883877034128;45.465042808842696;(45.465042808842696, 9.127883877034128)
